Sid,Date,Close,returns_percent,states_value,state,portfolio_value
FIBBG000B9XRY4,2023-08-31,187.3837,0.001172232097681,0,Flat,15
FIBBG000B9XRY4,2023-09-01,188.9696,0.0084633828876258,0,Flat,15
FIBBG000B9XRY4,2023-09-05,189.209,0.0012668704384196,0,Flat,15
FIBBG000B9XRY4,2023-09-06,182.4365,-0.0357937518828385,-1,Bear,14
FIBBG000B9XRY4,2023-09-07,177.1004,-0.0292490811871527,-1,Bear,14
FIBBG000B9XRY4,2023-09-08,177.7188,0.0034918046486624,0,Flat,14
FIBBG000B9XRY4,2023-09-11,178.8957,0.0066222594345675,0,Flat,14
FIBBG000B9XRY4,2023-09-12,175.8437,-0.0170602200052879,-1,Bear,13
FIBBG000B9XRY4,2023-09-13,173.7591,-0.0118548460934342,-1,Bear,13
FIBBG000B9XRY4,2023-09-14,175.2851,0.0087822738492545,0,Flat,13
FIBBG000B9XRY4,2023-09-15,174.557,-0.0041538042879857,0,Flat,13
FIBBG000B9XRY4,2023-09-18,177.5093,0.016913100018905,1,Bull,14
FIBBG000B9XRY4,2023-09-19,178.6065,0.0061810845966944,0,Flat,14
FIBBG000B9XRY4,2023-09-20,175.0357,-0.0199925534625,-1,Bear,13
FIBBG000B9XRY4,2023-09-21,173.4798,-0.0088890437779263,0,Flat,13
FIBBG000B9XRY4,2023-09-22,174.3376,0.0049446679094626,0,Flat,13
FIBBG000B9XRY4,2023-09-25,175.6242,0.0073799341048631,0,Flat,13
FIBBG000B9XRY4,2023-09-26,171.5149,-0.0233982560489954,-1,Bear,12
FIBBG000B9XRY4,2023-09-27,169.9888,-0.0088977692317111,0,Flat,12
FIBBG000B9XRY4,2023-09-28,170.2482,0.0015259828882844,0,Flat,12
FIBBG000B9XRY4,2023-09-29,170.7668,0.0030461408696244,0,Flat,12
FIBBG000B9XRY4,2023-10-02,173.3003,0.0148360219902229,1,Bull,13
FIBBG000B9XRY4,2023-10-03,171.9537,-0.0077703269988568,0,Flat,13
FIBBG000B9XRY4,2023-10-04,173.2105,0.007308944209982,0,Flat,13
FIBBG000B9XRY4,2023-10-05,174.4573,0.0071981779395591,0,Flat,13
FIBBG000B9XRY4,2023-10-06,177.0306,0.0147503142602802,1,Bull,14
FIBBG000B9XRY4,2023-10-09,178.5267,0.0084510813384805,0,Flat,14
FIBBG000B9XRY4,2023-10-10,177.9282,-0.0033524397191008,0,Flat,14
FIBBG000B9XRY4,2023-10-11,179.3346,0.0079043119640393,0,Flat,14
FIBBG000B9XRY4,2023-10-12,180.2422,0.0050609307963995,0,Flat,14
FIBBG000B9XRY4,2023-10-13,178.3871,-0.0102922623003935,-1,Bear,13
FIBBG000B9XRY4,2023-10-16,178.2574,-0.0007270705112646,0,Flat,13
FIBBG000B9XRY4,2023-10-17,176.6915,-0.0087844880493039,0,Flat,13
FIBBG000B9XRY4,2023-10-18,175.3848,-0.0073953755557,0,Flat,13
FIBBG000B9XRY4,2023-10-19,175.0058,-0.0021609626375832,0,Flat,13
FIBBG000B9XRY4,2023-10-20,172.4325,-0.0147040840932128,-1,Bear,12
FIBBG000B9XRY4,2023-10-23,172.5522,0.000694184680962,0,Flat,12
FIBBG000B9XRY4,2023-10-24,172.9911,0.0025435781172305,0,Flat,12
FIBBG000B9XRY4,2023-10-25,170.6571,-0.0134920235780914,-1,Bear,11
FIBBG000B9XRY4,2023-10-26,166.458,-0.0246054808150379,-1,Bear,11
FIBBG000B9XRY4,2023-10-27,167.7846,0.0079695779115453,0,Flat,11
